Ligand,Mode,default2017_Affinity,default2017_Intramol,default2017_CNNpose,default2017_CNNaffinity,crossdock_default2018_Affinity,crossdock_default2018_Intramol,crossdock_default2018_CNNpose,crossdock_default2018_CNNaffinity,redock_default2018_Affinity,redock_default2018_Intramol,redock_default2018_CNNpose,redock_default2018_CNNaffinity,dense_Affinity,dense_Intramol,dense_CNNpose,dense_CNNaffinity,general_default2018_Affinity,general_default2018_Intramol,general_default2018_CNNpose,general_default2018_CNNaffinity
E0019_1,1,-7.19973,-1.20286,0.66227,4.68891,-7.19973,-1.20286,0.28819,5.50269,-7.19973,-1.20286,0.30363,5.23869,-7.19973,-1.20286,0.71560,4.34835,-7.19973,-1.20286,0.17407,3.95492
E0019_1,2,-5.73068,-0.32053,0.17167,2.66913,-5.73068,-0.32053,0.28737,4.97318,-5.73068,-0.32053,0.06769,4.33170,-5.73068,-0.32053,0.20413,4.78512,-5.73068,-0.32053,0.04126,3.32160
E0019_1,3,-5.71460,-0.56008,0.14975,3.43846,-5.71460,-0.56008,0.22280,5.00895,-5.71460,-0.56008,0.05211,4.43917,-5.71460,-0.56008,0.03154,3.27741,-5.71460,-0.56008,0.01329,3.14019
E0019_1,4,-6.97562,-0.94542,0.11572,4.41218,-6.97562,-0.94542,0.12936,5.18706,-6.97562,-0.94542,0.12841,4.87986,-6.97562,-0.94542,0.03579,3.19176,-6.97562,-0.94542,0.22627,4.09294
E0019_1,5,-5.87018,-0.80738,0.52458,4.07052,-5.87018,-0.80738,0.10494,5.15929,-5.87018,-0.80738,0.04783,4.76821,-5.87018,-0.80738,0.45379,4.40378,-5.87018,-0.80738,0.12299,3.73288
E0019_1,6,-6.03749,-0.73669,0.24822,3.97005,-6.03749,-0.73669,0.17346,5.13870,-6.03749,-0.73669,0.06432,4.58549,-6.03749,-0.73669,0.19691,4.08334,-6.03749,-0.73669,0.01711,3.12351
E0019_1,7,-6.63236,-0.91461,0.80295,4.81961,-6.63236,-0.91461,0.10645,5.08721,-6.63236,-0.91461,0.18062,4.93385,-6.63236,-0.91461,0.44042,4.44266,-6.63236,-0.91461,0.06555,3.58997
E0019_1,8,-5.53408,-0.82642,0.27795,3.67949,-5.53408,-0.82642,0.16156,5.07603,-5.53408,-0.82642,0.04961,4.59243,-5.53408,-0.82642,0.26873,3.80722,-5.53408,-0.82642,0.04012,3.33766
E0019_1,9,-5.54157,-0.87733,0.29938,3.16186,-5.54157,-0.87733,0.17665,4.97228,-5.54157,-0.87733,0.10267,4.63418,-5.54157,-0.87733,0.35469,4.12876,-5.54157,-0.87733,0.00657,3.09071
E0019_1,10,-6.15045,-1.38277,0.55014,4.47830,-6.15045,-1.38277,0.12673,5.06020,-6.15045,-1.38277,0.05792,4.68908,-6.15045,-1.38277,0.14434,3.12752,-6.15045,-1.38277,0.00849,3.04247
E0019_2,1,-5.75080,-1.34394,0.28970,3.50675,-5.75080,-1.34394,0.36224,5.11434,-5.75080,-1.34394,0.27474,4.66305,-5.75080,-1.34394,0.38320,4.17156,-5.75080,-1.34394,0.35838,4.01621
E0019_2,2,-7.20878,-0.96531,0.82789,4.86797,-7.20878,-0.96531,0.26318,5.50718,-7.20878,-0.96531,0.44470,5.35276,-7.20878,-0.96531,0.71243,4.55059,-7.20878,-0.96531,0.33783,4.13670
E0019_2,3,-6.73515,-1.31429,0.19088,3.55085,-6.73515,-1.31429,0.15136,5.06728,-6.73515,-1.31429,0.18510,4.81110,-6.73515,-1.31429,0.15866,4.02548,-6.73515,-1.31429,0.26973,4.02581
E0019_2,4,-6.09229,-0.60126,0.06723,3.24191,-6.09229,-0.60126,0.13166,5.02495,-6.09229,-0.60126,0.07039,4.56582,-6.09229,-0.60126,0.26875,4.44790,-6.09229,-0.60126,0.05991,3.42720
E0019_2,5,-7.10868,-1.31183,0.75286,4.67624,-7.10868,-1.31183,0.21596,5.39267,-7.10868,-1.31183,0.20126,5.12518,-7.10868,-1.31183,0.66193,4.08755,-7.10868,-1.31183,0.10951,3.98426
E0019_2,6,-5.60111,-1.32358,0.09984,3.06629,-5.60111,-1.32358,0.22063,5.04799,-5.60111,-1.32358,0.07736,4.46666,-5.60111,-1.32358,0.21304,3.78361,-5.60111,-1.32358,0.01604,3.18107
E0019_2,7,-6.05378,-1.03122,0.12728,3.29033,-6.05378,-1.03122,0.24532,5.17266,-6.05378,-1.03122,0.14620,4.65861,-6.05378,-1.03122,0.72346,4.95005,-6.05378,-1.03122,0.08667,3.65749
E0019_2,8,-5.84951,-1.25249,0.12433,3.47610,-5.84951,-1.25249,0.12348,5.08464,-5.84951,-1.25249,0.04450,4.49936,-5.84951,-1.25249,0.57436,4.83001,-5.84951,-1.25249,0.03508,3.43240
E0019_2,9,-5.97262,-0.78464,0.21856,3.85456,-5.97262,-0.78464,0.16655,4.97679,-5.97262,-0.78464,0.09442,4.61782,-5.97262,-0.78464,0.39808,4.44430,-5.97262,-0.78464,0.04281,3.67760
E0019_2,10,-6.13822,-1.02878,0.19737,3.76096,-6.13822,-1.02878,0.15515,5.05945,-6.13822,-1.02878,0.06723,4.64055,-6.13822,-1.02878,0.11902,4.18608,-6.13822,-1.02878,0.07790,3.73835
E0019_3,1,-6.13810,-0.79237,0.41827,3.65388,-6.13810,-0.79237,0.30970,5.15065,-6.13810,-0.79237,0.27946,4.92486,-6.13810,-0.79237,0.76816,4.78893,-6.13810,-0.79237,0.02004,3.09119
E0019_3,2,-6.03820,-0.76331,0.64651,4.60277,-6.03820,-0.76331,0.12543,5.33197,-6.03820,-0.76331,0.04949,4.96164,-6.03820,-0.76331,0.65752,4.37975,-6.03820,-0.76331,0.02839,3.59150
E0019_3,3,-5.40994,-0.78769,0.11149,3.37772,-5.40994,-0.78769,0.26150,5.12260,-5.40994,-0.78769,0.13937,4.53117,-5.40994,-0.78769,0.44043,4.25191,-5.40994,-0.78769,0.12426,3.71655
E0019_3,4,-5.46879,-1.24329,0.10573,2.84864,-5.46879,-1.24329,0.24576,5.01477,-5.46879,-1.24329,0.07956,4.41788,-5.46879,-1.24329,0.19110,3.52221,-5.46879,-1.24329,0.02270,3.21534
E0019_3,5,-5.77477,-1.02267,0.10233,3.11921,-5.77477,-1.02267,0.21646,5.10674,-5.77477,-1.02267,0.11355,4.59097,-5.77477,-1.02267,0.40802,4.46844,-5.77477,-1.02267,0.03194,3.40459
E0019_3,6,-6.96346,-1.09673,0.27236,4.10376,-6.96346,-1.09673,0.17364,5.26977,-6.96346,-1.09673,0.08593,4.73061,-6.96346,-1.09673,0.20450,3.83966,-6.96346,-1.09673,0.45724,4.14521
E0019_3,7,-5.58418,-0.50949,0.38757,3.45557,-5.58418,-0.50949,0.25916,5.12490,-5.58418,-0.50949,0.09676,4.51344,-5.58418,-0.50949,0.16010,3.89642,-5.58418,-0.50949,0.02243,3.11405
