Ligand,Mode,default2017_Affinity,default2017_Intramol,default2017_CNNpose,default2017_CNNaffinity,crossdock_default2018_Affinity,crossdock_default2018_Intramol,crossdock_default2018_CNNpose,crossdock_default2018_CNNaffinity,redock_default2018_Affinity,redock_default2018_Intramol,redock_default2018_CNNpose,redock_default2018_CNNaffinity,dense_Affinity,dense_Intramol,dense_CNNpose,dense_CNNaffinity,general_default2018_Affinity,general_default2018_Intramol,general_default2018_CNNpose,general_default2018_CNNaffinity,default2017_CNNpose_z,crossdock_default2018_CNNpose_z,redock_default2018_CNNpose_z,dense_CNNpose_z,general_default2018_CNNpose_z,default2017_CNNaffinity_z,crossdock_default2018_CNNaffinity_z,redock_default2018_CNNaffinity_z,dense_CNNaffinity_z,general_default2018_CNNaffinity_z,pose_mean,cnn_mean,Final_score,Consensus,High_pose
S5184_1,1,-8.59135,-2.29869,0.9116,9.92367,-8.59135,-2.29869,0.71127,7.8974,-8.59135,-2.29869,0.08596,7.47076,-8.59135,-2.29869,0.10372,5.50688,-8.59135,-2.29869,0.5556,6.86232,3.4599759199001117,1.865777237628782,-0.46311447892071045,-0.8806284851873174,1.2206245212463676,4.169704090906692,3.5231364391729643,3.7026341154814797,1.074802206414523,2.675352025335071,1.0405269429334467,3.029125775462146,2.0348263591977966,3,2
S6587,1,-7.73913,1.57419,0.84609,7.04081,-7.73913,1.57419,0.80386,6.48535,-7.73913,1.57419,0.25094,5.71717,-7.73913,1.57419,0.88331,6.51311,-7.73913,1.57419,0.95728,6.39945,3.123131620241676,2.3353142619898293,0.5038606692626425,2.384792708394974,2.7325938801855263,1.8733230071460574,1.66322192187045,1.2409999327927432,2.038503460420179,2.2166858572863886,2.2159386280149294,1.8065468359031633,2.0112427319590465,0,4
S4674_1,2,-7.02026,-0.40353,0.68301,6.61969,-7.02026,-0.40353,0.71767,6.19182,-7.02026,-0.40353,0.429,5.89441,-7.02026,-0.40353,0.91659,7.0702,-7.02026,-0.40353,0.75823,6.24877,2.2845944749463367,1.8982325455012383,1.547499867259538,2.524190619248652,1.98334696498726,1.5378741813295844,1.276592051636529,1.4898038393728161,2.5720478107118714,2.067374348219966,2.0475728943886047,1.7887384462541533,1.918155670321379,1,3
S2584,1,-6.15581,2.12035,0.49898,6.97036,-6.15581,2.12035,0.71127,5.99174,-6.15581,2.12035,0.6883,5.72531,-6.15581,2.12035,0.93704,6.45033,-6.15581,2.12035,0.83283,5.93905,1.338335026524082,1.865777237628782,3.0673001819882533,2.609848289830314,2.264149878193945,1.8172051077853757,1.0130520235766964,1.2524266073558317,1.9783768842631617,1.760467256448976,2.229082122833075,1.5643055758860083,1.8966938493595416,0,3
S5054_6,5,-6.83643,-0.2612,0.40453,6.44707,-6.83643,-0.2612,0.5534,6.57438,-6.83643,-0.2612,0.60106,6.30536,-6.83643,-0.2612,0.89613,7.32802,-6.83643,-0.2612,0.66277,5.8464,0.8526848341452201,1.0651960729686838,2.555972069929121,2.4384910622755074,1.6240246312780087,1.4003713880344675,1.7804898581867572,2.066682452603924,2.818970936943189,1.668658713078893,1.7072737341193083,1.9470346697694463,1.8271542019443774,1,1
S6587_1,3,-8.09123,1.0715,0.63486,6.88371,-8.09123,1.0715,0.69564,6.41353,-8.09123,1.0715,0.47541,5.92521,-8.09123,1.0715,0.54172,5.81384,-8.09123,1.0715,0.96506,6.53319,2.03701314341598,1.7865152904340187,1.819516576116305,0.9539954617451004,2.7618786880239714,1.7481828795440248,1.5686225375478922,1.5330399052872052,1.368788409300122,2.3492112171386816,1.871783831947075,1.7135689897635853,1.7926764108553301,1,1
S5384,2,-10.6306,-0.88426,0.93575,4.24993,-10.6306,-0.88426,0.82091,5.14577,-10.6306,-0.88426,0.898,5.06013,-10.6306,-0.88426,0.94827,5.99129,-10.6306,-0.88426,0.96579,4.85887,3.5841522263686083,2.4217772306187944,4.2963866686778465,2.6568867074651332,2.7646264913301493,-0.3497901648587851,-0.1012370484833644,0.31866796044241724,1.5387384083294728,0.690097559983823,3.144765864892107,0.4192953430827127,1.7820306039874099,0,5
S5184_1,4,-8.31011,-3.018,0.91023,9.83817,-8.31011,-3.018,0.69918,7.78883,-8.31011,-3.018,0.06455,7.46497,-8.31011,-3.018,0.08342,5.56219,-8.31011,-3.018,0.12494,6.33809,3.4529315497194975,1.804467132600971,-0.5886020405803394,-0.9656578598967422,-0.40042886483393997,4.101597910703168,3.3801309371414963,3.694506296596924,1.1277745053512007,2.1558831349853818,0.6605419834018895,2.8919785569556344,1.776260270178762,1,1
S5384_2,1,-10.73752,-0.85715,0.91873,3.97449,-10.73752,-0.85715,0.8606,5.22116,-10.73752,-0.85715,0.90661,5.11729,-10.73752,-0.85715,0.93829,5.88959,-10.73752,-0.85715,0.95272,4.84876,3.496637496095573,2.6230508508465724,4.346851306972541,2.6150840887656233,2.7154295198072087,-0.5691956183705857,-0.001935355583369691,0.39890736069132793,1.441336802799549,0.6800793800219076,3.159410652497504,0.3898385139117658,1.7746245832046348,0,5
S4753,1,-9.65698,0.18393,0.68628,8.07034,-9.65698,0.18393,0.74794,6.49111,-9.65698,0.18393,0.53854,6.24742,-9.65698,0.18393,0.18762,5.66562,-9.65698,0.18393,0.69397,6.40039,2.3014084096110152,2.0517360094542454,2.189531978618518,-0.5292016606493496,1.7414649917612335,2.6934090387827263,1.6708088399113563,1.9853481130234139,1.226832991683157,2.2176173201117297,1.5509879457591327,1.9588032607024766,1.7548956032308047,0,1
