Sample_Index,Morgan_45,Morgan_91,Morgan_438,Morgan_650,Morgan_830,Morgan_915,Morgan_1173,Morgan_1215,Morgan_1260,RDKit_95,RDKit_358,RDKit_480,RDKit_499,RDKit_505,RDKit_707,RDKit_737,RDKit_766,RDKit_1078,RDKit_1096,RDKit_1433,RDKit_1502,RDKit_1671,RDKit_1745,RDKit_1907,RDKit_1935,RDKit_2007,AtomPair_52,AtomPair_297,AtomPair_464,AtomPair_534,AtomPair_806,AtomPair_1017,AtomPair_1018,AtomPair_1055,AtomPair_1071,AtomPair_1106,AtomPair_1174,AtomPair_1192,AtomPair_1238,AtomPair_1382,AtomPair_1400,AtomPair_1637,AtomPair_1693,AtomPair_1969,AtomPair_1999,Torsion_382,Torsion_655,Torsion_705,Torsion_1564,Torsion_1857,Torsion_1916,Avalon_118,Avalon_178,Avalon_440,Avalon_554,Avalon_1426,Avalon_1464,Avalon_1612,Avalon_1662,Avalon_1782,Layered_209,Layered_213,Layered_434,Layered_772,Layered_890,Layered_981,Layered_1012,Layered_1194,Layered_1290,Layered_1454,Layered_1702,Layered_1958
0,-0.010580796,0.00837472,-0.0075573535,0.006975815,-0.0026875893,0.010659579,0.0035034118,-0.01732526,0.015161505,0.00067437865,0.05752189,-0.04580911,0.10936272,-0.0125521,-0.050686467,0.027532969,-0.038125057,0.027377473,0.019758428,0.07673792,-0.04256143,-0.0035872997,0.011705851,-0.018791229,-0.015414076,0.09608337,0.011428585,0.0067282836,-0.024867188,-0.008199654,0.013340341,-0.010263434,-0.025596635,-0.013201878,0.009486518,0.0074108513,0.007296666,0.017872179,0.02442933,-0.03148923,-0.04884698,0.024638664,0.029001456,-0.007760099,-0.0063731405,-0.11606129,-0.002810532,-0.030229822,-0.045463927,0.015288824,0.0025310912,-0.0339529,0.016879853,-0.009490206,-0.030894557,-0.007846689,-0.0028752978,-0.03242973,-0.0009413227,-0.021630017,-0.022171903,-0.0049937163,-0.21075511,0.0007728031,-0.031176623,-0.0099815205,0.017533507,0.0017706619,0.026748437,0.0030175818,-0.017724546,0.011201317
1,0.16929273,0.00837472,-0.0075573535,0.006975815,-0.0026875893,0.010659579,0.0035034118,-0.01732526,0.015161505,0.00067437865,0.05752189,-0.04580911,0.10936272,-0.0125521,0.05702228,0.027532969,-0.038125057,0.027377473,0.019758428,-0.048699066,0.05264177,0.0040357127,0.011705851,-0.018791229,-0.015414076,-0.098371066,0.011428585,0.0067282836,0.024288883,-0.008199654,0.013340341,-0.010263434,0.054985363,-0.013201878,0.009486518,0.0074108513,0.007296666,0.017872179,0.02442933,-0.03148923,-0.04884698,0.024638664,0.029001456,0.15714203,-0.0063731405,0.070074745,-0.002810532,-0.030229822,-0.045463927,0.015288824,-0.10504027,-0.0339529,0.016879853,-0.009490206,0.13323279,-0.007846689,-0.0028752978,0.004820635,0.010489025,0.058307,0.04281471,-0.0049937163,0.034644675,0.0007728031,0.010887075,-0.0099815205,0.017533507,0.0017706619,-0.0490388,0.0030175818,-0.017724546,0.011201317
2,-0.010580796,0.00837472,-0.0075573535,0.006975815,-0.0026875893,0.010659579,0.0035034118,-0.01732526,0.015161505,-0.0013022483,0.05752189,-0.04580911,0.10936272,0.021864949,0.05702228,-0.01662368,0.03388894,-0.011407281,0.019758428,0.07673792,0.05264177,-0.0035872997,0.011705851,-0.018791229,0.05737462,0.09608337,0.011428585,0.0067282836,0.024288883,-0.008199654,0.013340341,-0.010263434,-0.025596635,-0.013201878,0.009486518,0.0074108513,0.007296666,0.017872179,0.02442933,0.1915595,0.050010003,0.024638664,-0.10794987,-0.007760099,-0.0063731405,-0.11606129,-0.002810532,0.13036612,0.38391763,0.015288824,0.0025310912,-0.0339529,0.016879853,-0.009490206,0.13323279,-0.007846689,-0.0028752978,0.004820635,-0.0009413227,-0.021630017,0.04281471,-0.0049937163,0.034644675,0.0007728031,0.010887075,-0.0099815205,0.017533507,0.0017706619,0.026748437,0.0030175818,-0.017724546,0.011201317
3,-0.010580796,0.00837472,-0.0075573535,0.006975815,-0.0026875893,0.010659579,0.0035034118,-0.01732526,0.015161505,-0.0013022483,0.05752189,-0.04580911,0.10936272,0.021864949,-0.050686467,-0.01662368,0.03388894,-0.011407281,0.019758428,0.07673792,0.05264177,-0.0035872997,0.011705851,-0.018791229,-0.015414076,0.09608337,0.011428585,0.0067282836,0.024288883,-0.008199654,0.013340341,-0.010263434,-0.025596635,-0.013201878,0.009486518,0.0074108513,0.007296666,0.017872179,0.02442933,-0.03148923,-0.04884698,0.024638664,0.029001456,-0.007760099,-0.0063731405,-0.11606129,-0.002810532,0.13036612,0.38391763,0.015288824,0.0025310912,-0.0339529,0.016879853,-0.009490206,0.13323279,-0.007846689,-0.0028752978,0.004820635,-0.0009413227,-0.021630017,0.04281471,-0.0049937163,-0.21075511,0.0007728031,-0.031176623,-0.0099815205,0.017533507,0.0017706619,0.026748437,0.0030175818,-0.017724546,0.011201317
4,-0.010580796,0.00837472,-0.0075573535,0.006975815,-0.0026875893,0.010659579,0.0035034118,-0.01732526,0.015161505,0.00067437865,-0.100199424,-0.04580911,0.10936272,0.021864949,-0.050686467,-0.01662368,0.03388894,0.027377473,0.019758428,0.07673792,0.05264177,0.0040357127,0.011705851,-0.018791229,-0.015414076,-0.098371066,-0.1273471,0.0067282836,0.024288883,0.02498942,0.013340341,-0.010263434,-0.025596635,-0.013201878,-0.10570692,0.0074108513,0.007296666,0.017872179,-0.06995671,0.1915595,-0.04884698,-0.05913279,-0.10794987,-0.007760099,-0.0063731405,0.070074745,-0.002810532,-0.030229822,-0.045463927,0.015288824,0.0025310912,-0.0339529,0.016879853,-0.009490206,-0.030894557,-0.007846689,-0.0028752978,0.004820635,0.010489025,0.058307,0.04281471,-0.0049937163,0.034644675,0.0007728031,0.010887075,-0.0099815205,0.017533507,0.0017706619,0.026748437,0.0030175818,0.07089818,0.011201317
5,-0.010580796,0.00837472,-0.0075573535,0.006975815,-0.0026875893,0.010659579,0.0035034118,-0.01732526,0.015161505,0.00067437865,0.05752189,-0.04580911,-0.13526443,-0.0125521,-0.050686467,-0.01662368,-0.038125057,0.027377473,0.019758428,0.07673792,-0.04256143,-0.0035872997,-0.016722644,-0.018791229,-0.015414076,-0.098371066,0.011428585,-0.023371933,-0.024867188,-0.008199654,-0.27014193,-0.010263434,-0.025596635,-0.013201878,0.009486518,0.0074108513,0.007296666,0.017872179,0.02442933,0.1915595,-0.04884698,0.024638664,0.029001456,-0.007760099,-0.0063731405,-0.11606129,-0.002810532,-0.030229822,-0.045463927,0.015288824,0.0025310912,-0.0339529,-0.46138266,-0.009490206,-0.030894557,-0.007846689,-0.0028752978,-0.03242973,-0.0009413227,-0.021630017,0.04281471,-0.0049937163,-0.21075511,0.0007728031,-0.031176623,-0.0099815205,0.017533507,0.0017706619,-0.0490388,0.0030175818,-0.017724546,0.011201317
6,-0.010580796,0.00837472,-0.0075573535,0.006975815,-0.0026875893,0.010659579,0.0035034118,-0.01732526,0.015161505,0.00067437865,-0.100199424,0.079796515,0.10936272,0.021864949,-0.050686467,-0.01662368,0.03388894,0.027377473,0.019758428,0.07673792,0.05264177,0.0040357127,0.011705851,-0.018791229,-0.015414076,-0.098371066,0.011428585,0.0067282836,0.024288883,0.02498942,0.013340341,-0.010263434,-0.025596635,-0.013201878,0.009486518,0.0074108513,0.007296666,0.017872179,-0.06995671,0.1915595,-0.04884698,-0.05913279,-0.10794987,-0.007760099,0.2644853,0.070074745,-0.002810532,-0.030229822,0.38391763,0.015288824,0.0025310912,-0.0339529,0.016879853,-0.009490206,0.13323279,-0.007846689,-0.0028752978,0.004820635,0.010489025,0.058307,0.04281471,-0.0049937163,0.034644675,0.0007728031,0.010887075,-0.0099815205,0.017533507,-0.01704262,0.026748437,0.0030175818,0.07089818,0.011201317
7,-0.010580796,0.00837472,-0.0075573535,0.006975815,-0.0026875893,0.010659579,0.0035034118,-0.01732526,0.015161505,-0.0013022483,0.05752189,-0.04580911,0.10936272,0.021864949,0.05702228,-0.01662368,0.03388894,-0.011407281,0.019758428,0.07673792,0.05264177,0.0040357127,0.011705851,-0.018791229,0.05737462,0.09608337,0.011428585,0.0067282836,0.024288883,-0.008199654,0.013340341,-0.010263434,-0.025596635,-0.013201878,0.009486518,0.0074108513,0.007296666,-0.06652422,-0.06995671,-0.03148923,-0.04884698,-0.05913279,0.029001456,-0.007760099,-0.0063731405,0.070074745,-0.002810532,-0.030229822,-0.045463927,0.015288824,0.0025310912,0.17218971,0.016879853,-0.009490206,-0.030894557,-0.007846689,0.07859148,0.004820635,-0.0009413227,-0.021630017,0.04281471,-0.0049937163,0.034644675,0.0007728031,0.010887075,-0.0099815205,0.017533507,0.0017706619,0.026748437,-0.12522963,-0.017724546,-0.2268267
8,-0.010580796,0.00837472,-0.0075573535,0.006975815,-0.0026875893,0.010659579,0.0035034118,-0.01732526,0.015161505,0.00067437865,-0.100199424,-0.04580911,-0.13526443,-0.0125521,-0.050686467,-0.01662368,0.03388894,-0.011407281,-0.034417905,-0.048699066,-0.04256143,-0.0035872997,-0.016722644,-0.018791229,-0.015414076,-0.098371066,-0.1273471,0.0067282836,0.024288883,0.02498942,0.013340341,-0.010263434,-0.025596635,-0.013201878,0.009486518,0.0074108513,0.007296666,-0.06652422,-0.06995671,-0.03148923,-0.04884698,-0.05913279,-0.10794987,-0.007760099,0.2644853,0.070074745,-0.002810532,-0.030229822,-0.045463927,0.015288824,0.0025310912,-0.0339529,0.016879853,-0.009490206,-0.030894557,-0.007846689,-0.0028752978,0.004820635,-0.0009413227,-0.021630017,-0.022171903,-0.0049937163,0.034644675,0.0007728031,0.010887075,-0.0099815205,0.017533507,0.0017706619,-0.0490388,0.0030175818,-0.017724546,0.011201317
9,-0.010580796,0.00837472,-0.0075573535,0.006975815,-0.0026875893,0.010659579,0.0035034118,-0.01732526,0.015161505,0.00067437865,-0.100199424,-0.04580911,-0.13526443,-0.0125521,-0.050686467,-0.01662368,0.03388894,-0.011407281,-0.034417905,-0.048699066,-0.04256143,-0.0035872997,-0.016722644,-0.018791229,-0.015414076,-0.098371066,0.011428585,0.0067282836,-0.024867188,-0.008199654,0.013340341,-0.010263434,-0.025596635,-0.013201878,0.009486518,0.0074108513,0.007296666,0.017872179,0.02442933,-0.03148923,-0.04884698,0.024638664,0.029001456,-0.007760099,-0.0063731405,0.070074745,-0.002810532,-0.030229822,-0.045463927,0.015288824,0.0025310912,-0.0339529,0.016879853,-0.009490206,-0.030894557,-0.007846689,-0.0028752978,0.004820635,-0.0009413227,-0.021630017,-0.022171903,-0.0049937163,0.034644675,0.0007728031,0.010887075,-0.0099815205,0.017533507,0.0017706619,-0.0490388,0.0030175818,-0.017724546,0.011201317
