Dataset,Sample_Index,Morgan,RDKit,AtomPair,Torsion,Layered,MACCS,Phys,Fused_Distance,Inside_AD
Train,67,0.5105096750213146,0.5886572525082095,0.540288261777102,0.409008501041561,0.46303147512053805,0.379328292454116,0.1591083754820738,0.43570454762927363,True
Train,26,0.5417521353558736,0.2709620402021023,0.5835416061360454,0.38585016273230666,0.24155850877393825,0.25955884943704516,0.8717706430856424,0.45071342081756477,True
Train,22,0.0,0.13681828990104694,0.0,0.0,0.0,0.0,0.0031148627560319783,0.019990450379582702,True
Train,31,0.0,0.15859854403521673,0.050061261686479265,0.026487049555906035,0.0,0.0038421690877016843,0.0069643665137354765,0.03513619869700559,True
Train,56,0.4207897022024704,0.453563685685275,0.10096118993729546,0.3591316413237753,0.6308734042323928,0.24988474489409948,0.758118895923993,0.4247604663141859,True
Train,96,0.5822841766169947,0.8783856221863889,0.699327977842309,0.6873662860761841,0.7724137019308042,0.48040525621994284,0.06556716902634525,0.5951071699855671,True
Train,15,0.43659969131301263,0.4291391620355669,0.07993035567441854,0.3689890690605917,0.6501387599858021,0.24003350144688884,0.6987638783137066,0.41479920254714103,True
Train,44,0.38390046526533933,0.3348742876599901,0.33528084874375585,0.34068575629397807,0.3423471174166234,0.1601031469964933,0.11669049363922122,0.2876974451450573,True
Train,89,0.11840894094410696,0.0,0.09344307544033859,0.05119962815789213,0.028384145579839877,0.08113370372556282,0.7032029192390232,0.1536817732981091,True
Train,88,0.4441340839569346,0.5971497059590886,0.4151688117467163,0.45996126471658716,0.6338997614302091,0.3580062782116305,1.0005644546567416,0.5584120515254155,True
Train,9,1.0440838822733498,0.9187814824998382,0.9351634163710529,1.000393642374526,0.935845222449428,0.6380250122121197,0.10432244056340023,0.7966592998205309,True
Train,33,0.10856181885804123,0.17745735412719416,0.0,0.10150739656687559,0.3569792783305555,0.0,0.0,0.10635797826895235,True
Train,68,1.0023067711928104,0.6918867942647345,0.6622745656755655,0.9640333646721592,0.7057832345017854,0.7585690056331071,0.58077739682477,0.7665187332521332,True
Train,101,1.0001806408857425,1.3046246376180053,1.0529988747737198,1.1037279067057484,1.2092685822085756,1.153246672866014,0.4227191479692109,1.0352523518610024,False
Train,28,0.9603385259689373,0.7864043058962008,0.9608917837339235,0.9333694732402892,0.8594844118756643,0.6915179978903021,0.18266663267812006,0.7678104473262053,True
Train,40,0.999277436457029,0.7410315719804155,0.7429945971485261,0.8941289928970761,0.960247659824173,0.5991893486811343,0.477188849298342,0.7734369223266709,True
Train,5,0.06111101836626546,0.23202060770805577,0.23727918718981972,0.15438935585279923,0.0,0.046224013770453556,0.14323141269730993,0.12489365651210053,True
Train,53,1.0299715325203629,0.6358523744483302,0.19421838009681516,0.8742281661871248,0.618964702307227,0.28964451043781564,3.5599011354929844,1.0289686859272371,False
Train,81,0.38117605537924976,0.4164267967511153,0.07899649215242843,0.4041633640792138,0.5137989028556678,0.2540200305201985,1.06622712489634,0.44497268094774484,True
Train,39,0.22323490383332406,0.04150351109538281,0.3908250626077479,0.10428518184807764,0.045784357450644915,0.17826514342354902,0.08837269945185827,0.15318155138722636,True
Train,35,0.9974994144498152,0.9121551539183338,1.003929797346614,0.9984254305018955,1.0099380850439568,0.738844643215816,0.10308833174981201,0.8234115508894633,True
Train,16,0.6624666714930556,0.7104416330478058,0.5883775018004644,0.6773278738117402,0.7977099645904272,0.7552563485784977,0.21462520543006386,0.6294578855360078,True
Train,80,0.8936841719694304,0.9346982322042132,0.8321870112715993,0.8322197798328191,0.8636928659087297,1.0603577485917244,0.31523138536124257,0.818867313591394,True
