Compound,GBSA,CNN_affinity,CNN_pose,old_cnn_affinity,Difference
S1014,-36.4749,7.235,0.7574,6.843,0.392
S1688,-31.2386,6.445,0.9459,6.096,0.349
S1992,-23.2671,5.924,0.8281,4.833,1.091
S2379,-20.9059,6.688,0.6291,5.855,0.833
S3022,-46.5285,7.267,0.9715,6.089,1.178
S4423,-52.8651,6.224,0.5976,6.489,-0.265
S4646,-33.7506,6.467,0.793,5.717,0.75
S4674,-17.214,6.067,0.7114,6.088,-0.021
S4753,-24.449,6.528,0.8148,6.298,0.23
S4851,-55.9418,6.213,0.7984,6.116,0.097
S5184,-47.4519,6.645,0.7013,7.01,-0.365
S5673,-31.4192,6.411,0.8493,6.846,-0.435
S5767,-48.4602,7.16,0.8331,7.193,-0.033
S5808,-25.3918,5.925,0.372,6.254,-0.329
S6587,-17.193,6.689,0.9626,6.163,0.526
S7672,-33.3363,8.15,0.9668,6.068,2.082
S8873,-34.2708,6.027,0.1987,5.823,0.204
S8884,-41.1545,6.303,0.4135,6.933,-0.63
S8955,-37.1116,7.101,0.6723,6.279,0.822
