Ligand,default2017_BestMode,default2017_Affinity,default2017_Intramol,default2017_CNNpose,default2017_CNNaffinity,crossdock_default2018_BestMode,crossdock_default2018_Affinity,crossdock_default2018_Intramol,crossdock_default2018_CNNpose,crossdock_default2018_CNNaffinity,redock_default2018_BestMode,redock_default2018_Affinity,redock_default2018_Intramol,redock_default2018_CNNpose,redock_default2018_CNNaffinity,dense_BestMode,dense_Affinity,dense_Intramol,dense_CNNpose,dense_CNNaffinity,general_default2018_BestMode,general_default2018_Affinity,general_default2018_Intramol,general_default2018_CNNpose,general_default2018_CNNaffinity
E0019_1,7,-6.63236,-0.91461,0.80295,4.81961,1,-7.19973,-1.20286,0.28819,5.50269,1,-7.19973,-1.20286,0.30363,5.23869,1,-7.19973,-1.20286,0.7156,4.34835,4,-6.97562,-0.94542,0.22627,4.09294
E0019_2,2,-7.20878,-0.96531,0.82789,4.86797,1,-5.7508,-1.34394,0.36224,5.11434,2,-7.20878,-0.96531,0.4447,5.35276,7,-6.05378,-1.03122,0.72346,4.95005,1,-5.7508,-1.34394,0.35838,4.01621
E0019_3,9,-7.25128,-1.22952,0.66884,4.46458,8,-5.57768,-0.72759,0.31404,5.3315,1,-6.1381,-0.79237,0.27946,4.92486,1,-6.1381,-0.79237,0.76816,4.78893,6,-6.96346,-1.09673,0.45724,4.14521
E0019,1,-7.28365,-0.20543,0.82496,5.15097,7,-6.83772,-1.24201,0.25905,5.36245,1,-7.28365,-0.20543,0.46732,5.49594,7,-6.83772,-1.24201,0.76921,4.21432,4,-6.2086,-1.2044,0.31482,4.22098
E0125_1,8,-7.20865,0.83907,0.47315,5.47545,6,-6.49252,-0.74138,0.28674,5.30923,5,-5.79872,0.61688,0.09861,4.8581,4,-5.72293,-0.6242,0.36906,4.46653,8,-7.20865,0.83907,0.124,4.03636
E0125_2,2,-6.58225,0.1118,0.47743,5.62835,6,-5.81908,-0.75175,0.35408,4.81886,8,-6.7486,-0.54567,0.07923,5.08332,7,-6.25342,-0.08213,0.56949,3.90938,2,-6.58225,0.1118,0.15347,4.24354
E0125_3,6,-6.51359,0.74302,0.41534,5.85028,2,-6.00499,-0.76573,0.23807,4.7529,1,-5.7186,-0.67325,0.04689,4.67115,4,-6.36577,-0.29123,0.71068,4.21724,5,-6.71493,-0.78916,0.08399,4.11299
E0125,9,-6.64588,0.21226,0.38253,5.37777,10,-6.39946,-0.30017,0.38525,5.23518,1,-5.63555,-0.78121,0.12273,4.68804,6,-6.13614,0.04603,0.46393,4.02405,6,-6.13614,0.04603,0.10812,4.10163
E0144_1,8,-7.271,-0.01051,0.24297,5.67051,7,-6.70639,0.1267,0.23222,5.27354,9,-7.48947,0.45396,0.03998,4.79315,2,-6.51901,-0.29103,0.44629,3.7042,2,-6.51901,-0.29103,0.02277,3.62114
E0144_2,4,-7.551,-0.21147,0.26805,5.16971,9,-6.83207,-0.25078,0.21373,4.95856,9,-6.83207,-0.25078,0.05822,4.61622,3,-6.172,-0.14151,0.19806,3.8852,3,-6.172,-0.14151,0.08156,4.09363
